IndexKey,IndexName,Group,Date,SourceDate,Close,PE
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2023-09-30,2023-09-29,968.67,86.03
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2023-12-31,2023-12-29,1008.09,33.07
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2024-03-31,2024-03-28,1065.9,32.27
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2024-06-30,2024-06-28,1082.58,29.43
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2024-09-30,2024-09-30,1150.71,30.3
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2024-12-31,2024-12-31,1116.73,21.43
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2025-03-31,2025-03-28,1107.07,21.55
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2025-06-30,2025-06-30,1205.46,23.85
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2025-09-30,2025-09-30,1336.78,26.46
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2025-12-31,2025-12-31,1340.64,32.37
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2026-03-31,2026-03-30,1308.87,40.08
NIFTYREITSINVITS,NIFTY REITS & Invits,Strategy / Thematic / Other,2026-06-30,2026-06-30,1376.86,50.2
NIFTYREITSREALTY,NIFTY REITS & Realty,Sectoral,2026-03-31,2026-03-30,1632.57,44.75
NIFTYREITSREALTY,NIFTY REITS & Realty,Sectoral,2026-06-30,2026-06-30,1857.45,50.71
NIFTYRETAIL,NIFTY Retail,Sectoral,2026-06-30,2026-06-30,2994.03,250.1
NIFTYRURAL,NIFTY Rural,Strategy / Thematic / Other,2024-09-30,2024-09-30,16195.97,32.08
NIFTYRURAL,NIFTY Rural,Strategy / Thematic / Other,2024-12-31,2024-12-31,13959.7,27.21
NIFTYRURAL,NIFTY Rural,Strategy / Thematic / Other,2025-03-31,2025-03-28,13900.85,24.59
NIFTYRURAL,NIFTY Rural,Strategy / Thematic / Other,2025-06-30,2025-06-30,15100.15,25.31
NIFTYRURAL,NIFTY Rural,Strategy / Thematic / Other,2025-09-30,2025-09-30,15383.4,25.28
NIFTYRURAL,NIFTY Rural,Strategy / Thematic / Other,2025-12-31,2025-12-31,16169.6,26.34
